Date;Price;Open;High;Low;Vol.;Change %
nov-04;282.88;272.18;287.14;272.18;-;3.93%
okt-04;272.18;281.86;286.35;271.62;-;-3.43%
sep-04;281.86;267.18;283.92;267.17;-;5.49%
aug-04;267.18;266.31;273.27;263.06;-;0.33%
jul-04;266.31;267.43;271.63;260.90;-;-0.42%
jun-04;267.43;253.14;268.35;252.47;-;5.65%
maj-04;253.14;254.99;259.98;246.53;-;-0.73%
apr-04;254.99;258.75;266.76;251.94;-;-1.45%
mar-04;258.75;275.94;282.29;257.33;-;-6.23%
feb-04;275.94;261.83;279.19;261.83;-;5.39%
jan-04;261.83;244.35;269.21;244.35;-;7.15%
dec-03;244.35;242.72;249.63;238.16;-;0.67%
nov-03;242.72;258.01;265.06;242.35;-;-5.93%
okt-03;258.01;238.19;261.63;238.19;-;8.32%
sep-03;238.19;242.16;257.24;237.53;-;-1.64%
aug-03;242.16;214.52;248.17;212.42;-;12.88%
jul-03;214.52;214.90;218.48;211.87;-;-0.18%
jun-03;214.90;207.63;219.77;207.27;-;3.50%
maj-03;207.63;205.63;210.22;199.47;-;0.97%
apr-03;205.63;186.65;207.77;185.86;-;10.17%
mar-03;186.65;178.03;191.55;166.75;-;4.84%
feb-03;178.03;186.82;188.59;172.90;-;-4.71%
jan-03;186.82;199.49;209.19;183.54;-;-6.35%
dec-02;199.49;208.53;210.66;195.61;-;-4.34%
nov-02;208.53;200.23;210.35;198.02;-;4.15%
okt-02;200.23;192.07;207.79;180.40;-;4.25%
sep-02;192.07;224.34;225.45;188.86;-;-14.38%
aug-02;224.34;217.65;229.96;201.92;-;3.07%
jul-02;217.65;245.99;247.56;196.97;-;-11.52%
jun-02;245.99;254.33;256.37;230.34;-;-3.28%
maj-02;254.33;256.87;267.91;250.14;-;-0.99%
apr-02;256.87;278.64;280.05;248.53;-;-7.81%
mar-02;278.64;272.81;280.92;269.13;-;2.14%
feb-02;272.81;263.06;275.77;257.33;-;3.71%
jan-02;263.06;272.45;274.08;254.93;-;-2.67%
dec-01;270.27;270.72;272.70;251.43;-;-0.17%
nov-01;270.72;262.05;271.45;255.92;-;3.31%
okt-01;262.05;255.45;275.08;245.15;-;2.58%
sep-01;255.45;286.14;286.14;235.59;-;-10.79%
aug-01;286.36;311.45;318.55;273.98;-;-8.06%
jul-01;311.45;314.62;315.95;299.08;-;-1.01%
jun-01;314.62;317.30;321.43;294.80;-;-0.84%
maj-01;317.30;298.30;318.35;287.17;-;6.37%
apr-01;298.30;294.47;312.34;273.09;-;1.30%
mar-01;294.47;316.80;317.57;284.49;-;-7.05%
feb-01;316.80;347.56;347.58;315.00;-;-8.85%
jan-01;347.56;313.90;348.11;309.22;-;10.72%
dec-00;313.90;315.27;328.60;297.26;-;-0.43%
nov-00;315.27;339.98;346.58;308.05;-;-7.27%
okt-00;339.98;334.88;355.68;329.16;-;1.52%
sep-00;334.88;331.91;342.77;319.60;-;0.89%
aug-00;331.91;305.61;332.38;302.92;-;8.61%
jul-00;305.61;287.53;314.57;287.53;-;6.29%
jun-00;287.53;290.77;299.78;282.36;-;-1.11%
maj-00;290.77;284.15;298.03;278.29;-;2.33%
apr-00;284.15;291.95;295.68;261.35;-;-2.67%
mar-00;291.95;267.30;307.12;267.30;-;9.22%
feb-00;267.30;250.82;282.70;250.82;-;6.57%
jan-00;250.82;255.69;266.14;244.24;-;-1.90%
dec-99;255.69;242.41;259.61;240.70;-;5.48%
nov-99;242.41;222.91;248.12;222.22;-;8.75%
okt-99;222.91;216.00;223.54;211.61;-;3.20%
sep-99;216.00;212.66;221.41;212.66;-;1.57%
aug-99;212.66;211.22;218.47;200.55;-;0.68%
jul-99;211.22;205.43;218.94;205.39;-;2.82%
jun-99;205.43;202.26;209.53;198.91;-;1.57%
maj-99;202.26;208.51;213.33;198.64;-;-3.00%
apr-99;208.51;198.56;211.78;197.89;-;5.01%
mar-99;198.56;208.18;208.53;187.47;-;-4.62%
feb-99;208.18;218.90;219.98;204.91;-;-4.90%
jan-99;218.90;219.34;228.44;214.33;-;-0.20%
dec-98;219.34;202.91;222.23;196.95;-;8.10%
nov-98;202.91;203.84;210.09;199.83;-;-0.47%
okt-98;203.86;193.63;204.96;181.38;-;5.28%
sep-98;193.63;213.77;223.56;182.36;-;-9.42%
aug-98;213.77;237.86;239.23;209.88;-;-10.13%
jul-98;237.86;235.69;256.36;234.15;-;0.92%
jun-98;235.69;233.83;242.63;230.40;-;0.75%
maj-98;233.93;231.49;242.28;225.96;-;1.05%
apr-98;231.49;244.86;250.71;225.72;-;-5.46%
mar-98;244.86;216.49;245.34;214.74;-;13.10%
feb-98;216.49;215.81;221.39;214.72;-;0.32%
jan-98;215.81;210.55;226.52;205.86;-;2.50%
dec-97;210.55;191.85;213.82;191.77;-;9.75%
nov-97;191.85;183.18;192.70;180.05;-;5.05%
okt-97;182.62;191.70;196.36;170.15;-;-4.74%
sep-97;191.70;176.95;193.37;173.85;-;8.34%
aug-97;176.95;189.18;189.99;176.05;-;-6.46%
jul-97;189.18;171.71;195.61;171.71;-;10.17%
jun-97;171.71;163.77;173.39;163.16;-;4.85%
maj-97;163.77;154.77;168.27;154.77;-;5.82%
apr-97;154.77;154.58;156.89;148.26;-;0.12%
mar-97;154.58;152.97;161.50;152.54;-;1.05%
feb-97;152.97;147.88;160.12;147.88;-;3.44%
jan-97;147.88;136.13;147.88;134.12;-;8.63%
dec-96;136.13;130.90;136.13;128.06;-;4.00%
nov-96;130.90;125.94;131.59;124.84;-;3.94%
okt-96;125.94;123.47;129.47;123.43;-;2.00%
sep-96;123.47;119.51;123.52;119.37;-;3.31%
aug-96;119.51;114.54;120.71;114.54;-;4.34%
jul-96;114.54;116.35;118.39;113.62;-;-1.56%
jun-96;116.35;113.97;116.35;112.95;-;2.09%
maj-96;113.97;113.82;116.36;113.08;-;0.13%
apr-96;113.82;110.56;114.86;110.56;-;2.95%
mar-96;110.56;112.45;113.50;108.59;-;-1.68%
feb-96;112.45;112.84;113.60;108.12;-;-0.35%
jan-96;112.84;106.14;113.42;106.04;-;6.31%
dec-95;106.14;104.03;106.71;103.26;-;2.03%
nov-95;104.03;100.92;104.03;100.48;-;3.08%
okt-95;100.92;101.27;102.65;99.41;-;-0.35%
sep-95;101.27;102.58;105.39;100.38;-;-1.28%
aug-95;102.58;102.56;105.03;101.95;-;0.02%
jul-95;102.56;95.84;103.10;95.70;-;7.01%
jun-95;95.84;99.17;99.40;95.76;-;-3.36%
maj-95;99.17;94.08;100.30;94.08;-;5.41%
apr-95;94.08;89.51;94.47;89.22;-;5.11%
mar-95;89.51;95.55;96.00;88.12;-;-6.32%
feb-95;95.55;95.10;96.61;93.42;-;0.47%
jan-95;95.10;95.64;97.54;90.55;-;-0.56%
dec-94;95.64;94.69;96.05;91.31;-;1.00%
nov-94;94.69;94.67;96.70;91.51;-;0.02%
okt-94;94.67;95.27;96.55;90.96;-;-0.63%
sep-94;95.27;96.68;98.10;94.53;-;-1.46%
aug-94;96.68;107.20;107.93;96.38;-;-9.81%
jul-94;107.20;102.74;108.36;100.63;-;4.34%
